time,timebound_lower,timebound_upper,F-gases,N2O,CH4,CO2-LUC,CO2-FFI
1750.5,1750,1751,0.032112612,0.033033,0.75051,,
1751.5,1751,1752,0.032112622,0.033579,0.7533,,
1752.5,1752,1753,0.032112632,0.034125,0.75609,,
1753.5,1753,1754,0.032112641,0.034671,0.75609,,
1754.5,1754,1755,0.032112651,0.035217,0.75888,,
1755.5,1755,1756,0.03211266,0.035763,0.76167,,
1756.5,1756,1757,0.03211267,0.036309,0.76446,,
1757.5,1757,1758,0.032112679,0.036855,0.76446,,
1758.5,1758,1759,0.032112688,0.037401,0.76725,,
1759.5,1759,1760,0.032112698,0.037674,0.77004,,
1760.5,1760,1761,0.032112707,0.03822,0.77283,,
1761.5,1761,1762,0.032112717,0.038766,0.77283,,
1762.5,1762,1763,0.032112726,0.039312,0.77562,,
1763.5,1763,1764,0.032112736,0.039858,0.77841,,
1764.5,1764,1765,0.032112745,0.040404,0.77841,,
1765.5,1765,1766,0.032112755,0.04095,0.7812,,
1766.5,1766,1767,0.032112764,0.041496,0.78399,,
1767.5,1767,1768,0.032112773,0.042042,0.78678,,
1768.5,1768,1769,0.032112783,0.042588,0.78678,,
1769.5,1769,1770,0.032112792,0.043134,0.78957,,
1770.5,1770,1771,0.032112802,0.04368,0.79236,,
1771.5,1771,1772,0.032112811,0.044226,0.79794,,
1772.5,1772,1773,0.032112821,0.044772,0.80352,,
1773.5,1773,1774,0.03211283,0.045318,0.8091,,
1774.5,1774,1775,0.03211284,0.045864,0.81747,,
1775.5,1775,1776,0.032112849,0.046683,0.82305,,
1776.5,1776,1777,0.032112858,0.047229,0.82863,,
1777.5,1777,1778,0.032112868,0.047775,0.83421,,
1778.5,1778,1779,0.032112877,0.048321,0.84258,,
1779.5,1779,1780,0.032112887,0.048867,0.84816,,
1780.5,1780,1781,0.032112896,0.049413,0.85374,,
1781.5,1781,1782,0.032112906,0.049959,0.85653,,
1782.5,1782,1783,0.032112915,0.050778,0.86211,,
1783.5,1783,1784,0.032112925,0.051324,0.8649,,
1784.5,1784,1785,0.032112934,0.05187,0.86769,,
1785.5,1785,1786,0.032112943,0.052416,0.87048,,
1786.5,1786,1787,0.032112953,0.052962,0.87327,,
1787.5,1787,1788,0.032112962,0.053508,0.87885,,
1788.5,1788,1789,0.032112972,0.054327,0.88164,,
1789.5,1789,1790,0.032112981,0.054873,0.88443,,
1790.5,1790,1791,0.032112991,0.055419,0.88722,,
1791.5,1791,1792,0.032113,0.055965,0.89001,,
1792.5,1792,1793,0.03211301,0.056784,0.89001,,
1793.5,1793,1794,0.032113019,0.05733,0.89001,,
1794.5,1794,1795,0.032113028,0.058149,0.8928,,
1795.5,1795,1796,0.032113038,0.058695,0.8928,,
1796.5,1796,1797,0.032113047,0.059514,0.89559,,
1797.5,1797,1798,0.032113057,0.06006,0.89559,,
1798.5,1798,1799,0.032113066,0.060606,0.89838,,
1799.5,1799,1800,0.032113076,0.061425,0.89838,,
1800.5,1800,1801,0.032113085,0.062244,0.90117,,
1801.5,1801,1802,0.032113095,0.063063,0.90675,,
1802.5,1802,1803,0.032113104,0.063882,0.91233,,
1803.5,1803,1804,0.032113113,0.064701,0.91791,,
1804.5,1804,1805,0.032113123,0.06552,0.92349,,
1805.5,1805,1806,0.032113132,0.066339,0.92907,,
1806.5,1806,1807,0.032113142,0.066885,0.93465,,
1807.5,1807,1808,0.032113151,0.067977,0.94023,,
1808.5,1808,1809,0.032113161,0.068523,0.94581,,
1809.5,1809,1810,0.03211317,0.069342,0.95139,,
1810.5,1810,1811,0.03211318,0.070161,0.95697,,
1811.5,1811,1812,0.032113189,0.071253,0.96255,,
1812.5,1812,1813,0.032113198,0.072072,0.96813,,
1813.5,1813,1814,0.032113208,0.072891,0.97092,,
1814.5,1814,1815,0.032113217,0.073983,0.9765,,
1815.5,1815,1816,0.032113227,0.074802,0.97929,,
1816.5,1816,1817,0.032113236,0.075894,0.98487,,
1817.5,1817,1818,0.032113246,0.076713,0.99045,,
1818.5,1818,1819,0.032113255,0.077532,0.99324,,
1819.5,1819,1820,0.032113265,0.078624,0.99882,,
1820.5,1820,1821,0.032113274,0.079443,1.00161,,
1821.5,1821,1822,0.032113283,0.080535,1.00998,,
1822.5,1822,1823,0.032113293,0.081627,1.01556,,
1823.5,1823,1824,0.032113302,0.082719,1.02393,,
1824.5,1824,1825,0.032113312,0.083811,1.0323,,
1825.5,1825,1826,0.032113321,0.085176,1.04067,,
1826.5,1826,1827,0.032113331,0.086268,1.04625,,
1827.5,1827,1828,0.03211334,0.08736,1.05462,,
1828.5,1828,1829,0.03211335,0.088725,1.06299,,
1829.5,1829,1830,0.032113359,0.089817,1.06857,,
1830.5,1830,1831,0.032113368,0.091182,1.07973,,
1831.5,1831,1832,0.032113378,0.092547,1.08531,,
1832.5,1832,1833,0.032113387,0.094185,1.09368,,
1833.5,1833,1834,0.032113397,0.09555,1.10205,,
1834.5,1834,1835,0.032113406,0.096915,1.11042,,
1835.5,1835,1836,0.032113416,0.098826,1.11879,,
1836.5,1836,1837,0.032113425,0.100464,1.12716,,
1837.5,1837,1838,0.032113435,0.101829,1.13553,,
1838.5,1838,1839,0.032113444,0.103194,1.1439,,
1839.5,1839,1840,0.032113453,0.104832,1.14948,,
1840.5,1840,1841,0.032113463,0.10647,1.15785,,
1841.5,1841,1842,0.032113472,0.108381,1.16622,,
1842.5,1842,1843,0.032113482,0.110292,1.17459,,
1843.5,1843,1844,0.032113491,0.112203,1.18017,,
1844.5,1844,1845,0.032113501,0.11466,1.18854,,
1845.5,1845,1846,0.03211351,0.117117,1.19691,,
1846.5,1846,1847,0.03211352,0.119301,1.20249,,
1847.5,1847,1848,0.032113529,0.122031,1.21086,,
1848.5,1848,1849,0.032113538,0.124488,1.21644,,
1849.5,1849,1850,0.032113548,0.126672,1.22481,,
1850.5,1850,1851,0.032114943,0.135954,1.23318,,
1851.5,1851,1852,0.032116538,0.138411,1.23597,,
1852.5,1852,1853,0.032116753,0.140595,1.24434,,
1853.5,1853,1854,0.03211677,0.143052,1.24992,,
1854.5,1854,1855,0.032116786,0.145236,1.26387,,
1855.5,1855,1856,0.032116807,0.147147,1.26945,,
1856.5,1856,1857,0.03211683,0.149058,1.27782,,
1857.5,1857,1858,0.032116854,0.150696,1.2834,,
1858.5,1858,1859,0.032116881,0.152061,1.28898,,
1859.5,1859,1860,0.032116909,0.153153,1.29735,,
1860.5,1860,1861,0.03211694,0.153972,1.30851,,
1861.5,1861,1862,0.032122728,0.154518,1.31688,,
1862.5,1862,1863,0.032122762,0.155064,1.32246,,
1863.5,1863,1864,0.032117042,0.155337,1.33362,,
1864.5,1864,1865,0.03211708,0.155883,1.34478,,
1865.5,1865,1866,0.03211712,0.156429,1.35315,,
1866.5,1866,1867,0.032122918,0.156702,1.36431,,
1867.5,1867,1868,0.032122962,0.157248,1.37268,,
1868.5,1868,1869,0.032117252,0.157794,1.37826,,
1869.5,1869,1870,0.032117299,0.15834,1.38942,,
1870.5,1870,1871,0.032123105,0.158886,1.395,,
1871.5,1871,1872,0.032123156,0.16107,1.40895,,
1872.5,1872,1873,0.032117453,0.166257,1.42848,,
1873.5,1873,1874,0.032123265,0.173628,1.44243,,
1874.5,1874,1875,0.032123322,0.182637,1.44801,,
1875.5,1875,1876,0.032123381,0.192465,1.46475,,
1876.5,1876,1877,0.032123442,0.202566,1.47312,,
1877.5,1877,1878,0.032123505,0.212121,1.48707,,
1878.5,1878,1879,0.03212357,0.220584,1.49544,,
1879.5,1879,1880,0.032123636,0.227409,1.51218,,
1880.5,1880,1881,0.032123705,0.231504,1.53171,,
1881.5,1881,1882,0.032123776,0.233961,1.54845,,
1882.5,1882,1883,0.032129605,0.236145,1.56798,,
1883.5,1883,1884,0.032129679,0.238056,1.58751,,
1884.5,1884,1885,0.032123999,0.239694,1.59867,,
1885.5,1885,1886,0.032124078,0.241332,1.60983,,
1886.5,1886,1887,0.032129914,0.24297,1.62378,,
1887.5,1887,1888,0.032129996,0.244335,1.64331,,
1888.5,1888,1889,0.03213008,0.245973,1.66563,,
1889.5,1889,1890,0.032130167,0.247611,1.67958,,
1890.5,1890,1891,0.03213026,0.256893,1.70469,,
1891.5,1891,1892,0.032130392,0.260715,1.72422,,
1892.5,1892,1893,0.032130538,0.264264,1.73538,,
1893.5,1893,1894,0.032130675,0.268086,1.74375,,
1894.5,1894,1895,0.032136578,0.271908,1.76328,,
1895.5,1895,1896,0.032136729,0.27573,1.7856,,
1896.5,1896,1897,0.032131125,0.27846,1.80234,,
1897.5,1897,1898,0.032137039,0.28392,1.82466,,
1898.5,1898,1899,0.032137198,0.28665,1.84419,,
1899.5,1899,1900,0.03213736,0.28938,1.87488,,
1900.5,1900,1901,0.032137957,0.29211,1.90278,,
1901.5,1901,1902,0.032290066,0.29484,1.92231,,
1902.5,1902,1903,0.032472758,0.3003,1.93905,,
1903.5,1903,1904,0.032509095,0.30303,1.97253,,
1904.5,1904,1905,0.032565607,0.30576,1.98927,,
1905.5,1905,1906,0.032695892,0.31122,2.01438,,
1906.5,1906,1907,0.03289914,0.31395,2.04507,,
1907.5,1907,1908,0.033148239,0.31941,2.09529,,
1908.5,1908,1909,0.033075276,0.32214,2.09529,,
1909.5,1909,1910,0.033326995,0.3276,2.12598,,
1910.5,1910,1911,0.035884464,0.33033,2.15109,,
1911.5,1911,1912,0.03682479,0.33306,2.17341,,
1912.5,1912,1913,0.035978305,0.33852,2.19852,,
1913.5,1913,1914,0.038266555,0.34671,2.24037,,
1914.5,1914,1915,0.041789454,0.3549,2.21805,,
1915.5,1915,1916,0.046168005,0.36309,2.22921,,
1916.5,1916,1917,0.050970015,0.37128,2.26827,,
1917.5,1917,1918,0.051542947,0.37674,2.30175,,
1918.5,1918,1919,0.049859823,0.38493,2.29338,,
1919.5,1919,1920,0.047433419,0.39312,2.26548,,
1920.5,1920,1921,0.0447212,0.39585,2.32965,,
1921.5,1921,1922,0.04491891,0.40131,2.29059,,
1922.5,1922,1923,0.049428835,0.40677,2.33802,,
1923.5,1923,1924,0.054560327,0.41223,2.41614,,
1924.5,1924,1925,0.058147787,0.41769,2.44404,,
1925.5,1925,1926,0.062897302,0.42042,2.46636,,
1926.5,1926,1927,0.062802141,0.42588,2.47473,,
1927.5,1927,1928,0.063948759,0.42861,2.54448,,
1928.5,1928,1929,0.073887257,0.43407,2.56401,,
1929.5,1929,1930,0.082796395,0.4368,2.61981,,
1930.5,1930,1931,0.087606306,0.43953,2.6226,,
1931.5,1931,1932,0.087505593,0.44226,2.61144,,
1932.5,1932,1933,0.085909342,0.44499,2.60865,,
1933.5,1933,1934,0.090176017,0.44772,2.65329,,
1934.5,1934,1935,0.10073586,0.44772,2.71467,,
1935.5,1935,1936,0.118234613,0.45045,2.76489,,
1936.5,1936,1937,0.13497235,0.45591,2.8458,,
1937.5,1937,1938,0.143820294,0.45864,2.9016,,
1938.5,1938,1939,0.151165121,0.46137,2.9016,,
1939.5,1939,1940,0.165560405,0.46683,2.9574,,
1940.5,1940,1941,0.185077957,0.47229,3.0132,,
1941.5,1941,1942,0.215152927,0.4914,3.069,,
1942.5,1942,1943,0.256029524,0.52962,3.0969,,
1943.5,1943,1944,0.299124783,0.58422,3.1527,,
1944.5,1944,1945,0.283916261,0.65247,3.1806,,
1945.5,1945,1946,0.219459273,0.72345,3.1527,,
1946.5,1946,1947,0.194667619,0.79716,3.2364,,
1947.5,1947,1948,0.214370448,0.86541,3.348,,
1948.5,1948,1949,0.240933363,0.9282,3.3759,,
1949.5,1949,1950,0.255791686,0.97461,3.4038,,
1950.5,1950,1951,0.259021682,1.00191,3.4875,,
1951.5,1951,1952,0.233547482,1.01829,3.5991,,
1952.5,1952,1953,0.220362006,1.03467,3.6828,,
1953.5,1953,1954,0.237908032,1.05378,3.7665,,
1954.5,1954,1955,0.253078375,1.07562,3.8502,,
1955.5,1955,1956,0.266960737,1.09746,4.0455,,
1956.5,1956,1957,0.279897734,1.12203,4.1571,,
1957.5,1957,1958,0.290936156,1.1466,4.2966,,
1958.5,1958,1959,0.302378461,1.1739,4.3803,,
1959.5,1959,1960,0.317071312,1.2012,4.5756,7.109422222,8.862666747
1960.5,1960,1961,0.334623165,1.23123,4.6872,6.572866667,9.394501174
1961.5,1961,1962,0.352593828,1.30494,4.743,6.1105,9.425314593
1962.5,1962,1963,0.369908597,1.35408,4.8267,5.896977778,9.75815598
1963.5,1963,1964,0.385552592,1.40049,4.9383,5.656688889,10.27913054
1964.5,1964,1965,0.39717736,1.44963,5.0499,5.479711111,10.83749386
1965.5,1965,1966,0.405381923,1.50969,5.1894,5.070388889,11.32583306
1966.5,1966,1967,0.414664674,1.57521,5.3847,4.851244444,11.87557075
1967.5,1967,1968,0.429923582,1.63527,5.4405,4.928488889,12.25294021
1968.5,1968,1969,0.445003919,1.68441,5.5242,4.981044444,12.9202885
1969.5,1969,1970,0.45664746,1.72536,5.7195,4.669377778,13.77741881
1970.5,1970,1971,0.471194471,1.73628,5.859,4.602033333,14.90955872
1971.5,1971,1972,0.490516142,1.73901,5.859,4.5892,15.51678074
1972.5,1972,1973,0.51254551,1.78815,5.9427,4.593844444,16.2405405
1973.5,1973,1974,0.537589229,1.85913,6.1101,4.450844444,17.09862782
1974.5,1974,1975,0.564497621,1.88097,6.138,4.3241,17.02986151
1975.5,1975,1976,0.576349763,1.92738,6.2217,4.373233333,17.0670402
1976.5,1976,1977,0.591548189,1.96833,6.2775,4.307966667,18.00498115
1977.5,1977,1978,0.630231243,2.00382,6.3612,4.410388889,18.51631165
1978.5,1978,1979,0.676404043,2.04477,6.3891,4.226444444,19.09107684
1979.5,1979,1980,0.755183965,2.10483,6.5565,4.062422222,19.63274028
1980.5,1980,1981,0.778650502,2.11302,6.5286,4.0876,19.5154564
1981.5,1981,1982,0.718359876,2.08845,6.3891,4.394988889,19.04997263
1982.5,1982,1983,0.705913943,2.08299,6.4449,4.4121,18.89823118
1983.5,1983,1984,0.735169807,2.10483,6.4449,4.808344444,19.02037262
1984.5,1984,1985,0.760354822,2.14032,6.5286,5.309944444,19.67906586
1985.5,1985,1986,0.800702564,2.13213,6.6123,5.084077778,20.34027973
1986.5,1986,1987,0.805851514,2.13486,6.696,5.120377778,20.64237112
1987.5,1987,1988,0.799834421,2.17581,6.8076,5.116588889,21.28938737
1988.5,1988,1989,0.829218362,2.15943,6.9192,5.0622,22.12388508
1989.5,1989,1990,0.836771674,2.17854,7.0866,4.872388889,22.42671186
1990.5,1990,1991,0.807604287,2.18673,7.1703,4.880822222,22.77404344
1991.5,1991,1992,0.764982493,2.15943,7.1145,4.760677778,23.26172336
1992.5,1992,1993,0.730689047,2.1567,7.1145,4.894266667,22.59645719
1993.5,1993,1994,0.708443192,2.16216,7.1703,4.879966667,22.8295031
1994.5,1994,1995,0.721953443,2.15397,7.1703,5.299677778,22.9862156
1995.5,1995,1996,0.742885302,2.22222,7.3098,5.2921,23.47578636
1996.5,1996,1997,0.758328045,2.28501,7.4493,5.288922222,24.17696552
1997.5,1997,1998,0.789943038,2.28501,7.4214,7.110033333,24.3202705
1998.5,1998,1999,0.813429576,2.30412,7.4214,5.490711111,24.23088297
1999.5,1999,2000,0.825643354,2.29593,7.4772,5.493033333,24.75038865
2000.5,2000,2001,0.832066955,2.29866,7.6446,5.119644444,25.47214734
2001.5,2001,2002,0.8486252,2.32323,7.6446,4.742466667,25.68672958
2002.5,2002,2003,0.891858845,2.34234,7.6167,5.181,26.30016486
2003.5,2003,2004,0.947395639,2.37783,7.8399,5.656933333,27.67172134
2004.5,2004,2005,1.002315752,2.45973,7.9515,5.366166667,28.65753688
2005.5,2005,2006,1.056789511,2.47065,8.091,4.7201,29.63615582
2006.5,2006,2007,1.10105092,2.48157,8.1747,5.076988889,30.61538252
2007.5,2007,2008,1.128253045,2.53071,8.2305,4.440211111,31.52971991
2008.5,2008,2009,1.117147652,2.5389,8.3142,4.6464,32.10918846
2009.5,2009,2010,1.125884158,2.53344,8.2584,5.037388889,31.58700306
2010.5,2010,2011,1.204838619,2.57166,8.3979,4.841222222,33.38862914
2011.5,2011,2012,1.284695777,2.63718,8.5374,4.967722222,34.51211134
2012.5,2012,2013,1.366431997,2.66448,8.5932,4.830466667,35.03174521
2013.5,2013,2014,1.442412436,2.71635,8.5374,4.631488889,35.34490701
2014.5,2014,2015,1.500800818,2.72454,8.5095,4.921277778,35.60342818
2015.5,2015,2016,1.544039682,2.72727,8.5653,5.389633333,35.58444533
2016.5,2016,2017,1.643911128,2.7573,8.6211,4.531144444,35.55004779
2017.5,2017,2018,1.779288589,2.7846,8.6769,4.3351,36.12301056
2018.5,2018,2019,1.848455766,2.8119,8.7885,4.1844,36.85330901
2019.5,2019,2020,1.831063511,2.8392,8.7885,4.5606,37.10954773
2020.5,2020,2021,1.90662776,2.8392,8.8164,4.060711111,35.28975101
2021.5,2021,2022,1.951129454,2.9211,8.8722,3.941911111,37.15086917